,Cellphone Img,Cellphone Brand,Cellphone Model,Tag
0,"https://images-na.ssl-images-amazon.com/images/I/81UgYuadkpL._AC_UL200_SR200,200_.jpg",Xiaomi,"Redmi Note 8 Pro, 64GB memoria/6GB RAM 6.53"" HDR, Helio G90T Octa-Core, Gris - Version Global Desbloqueado ",3
1,"https://images-na.ssl-images-amazon.com/images/I/71qqy8kZlTL._AC_UL200_SR200,200_.jpg",Huawei,"Nova 3 PAR-LX9 Pantalla 6.3"" Camara Dual 24 Mpx 16 Mpx, 128 GB ROM 4GB Ram - Desbloqueado (Negro) ",3
2,"https://images-na.ssl-images-amazon.com/images/I/61rI5o2rbAL._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS MAX Plata - 256GB - Telcel Prepago ,3
3,"https://images-na.ssl-images-amazon.com/images/I/81UgYuadkpL._AC_UL85_SR85,85_.jpg",Xiaomi,"Redmi Note 8 Pro, 64GB memoria/6GB RAM 6.53"" HDR, Helio G90T Octa-Core, Gris - Version Global Desbloqueado ",3
4,"https://images-na.ssl-images-amazon.com/images/I/61fPo-nBDBL._AC_UL85_SR85,85_.jpg",Samsung,"Galaxy S10 128GB SM-G973 6.1"" Dual Sim LTE Libre de Fabrica (Version Internacional) Verde ",3
5,"https://images-na.ssl-images-amazon.com/images/I/61rI5o2rbAL._AC_UL85_SR85,85_.jpg",Apple,Smartphone iPhone XS MAX Plata - 256GB - Telcel Prepago ,3
6,"https://images-na.ssl-images-amazon.com/images/I/81UgYuadkpL._AC_UL85_SR85,85_.jpg",Xiaomi,"Redmi Note 8 Pro, 64GB memoria/6GB RAM 6.53"" HDR, Helio G90T Octa-Core, Gris - Version Global Desbloqueado ",3
7,"https://images-na.ssl-images-amazon.com/images/I/61fPo-nBDBL._AC_UL85_SR85,85_.jpg",Samsung,"Galaxy S10 128GB SM-G973 6.1"" Dual Sim LTE Libre de Fabrica (Version Internacional) Verde ",3
8,"https://images-na.ssl-images-amazon.com/images/I/61WpoMEdpoL._AC_UL85_SR85,85_.jpg",Apple,"iPhone 7, 128GB, Silver - Fully unlocked- Desbloqueado(Renewed) ",3
9,"https://images-na.ssl-images-amazon.com/images/I/81FuLf%2BHM7L._AC_UL200_SR200,200_.jpg",GHIA,"Smartphone QS702 - Pantalla de 5.5"" HD IPS - 1GB de RAM - 8GB de Memoria - Dual SIM - Camaras de 5mp/8mp - Wi-Fi ",3
10,"https://images-na.ssl-images-amazon.com/images/I/61fPo-nBDBL._AC_UL200_SR200,200_.jpg",Samsung,"Galaxy S10 128GB SM-G973 6.1"" Dual Sim LTE Libre de Fabrica (Version Internacional) Verde ",3
11,"https://images-na.ssl-images-amazon.com/images/I/715ocHTopKL._AC_UL200_SR200,200_.jpg",Asus,Zenfone 5Q ,3
12,"https://images-na.ssl-images-amazon.com/images/I/61WpoMEdpoL._AC_UL200_SR200,200_.jpg",Apple,"iPhone 7, 128GB, Silver - Fully unlocked- Desbloqueado(Renewed) ",3
13,"https://images-na.ssl-images-amazon.com/images/I/51Z9s8oYeCL._AC_UL200_SR200,200_.jpg",Senwa,"S319 Smartphone Street 1.77"", 30 GB, color Negro/Naranja. Telcel/Desbloqueado ",3
14,"https://images-na.ssl-images-amazon.com/images/I/712WYNz6C0L._AC_UL200_SR200,200_.jpg",Smartphone,Samsung Galaxy S8 Plus color negro. AT&T pre-pago ,3
15,"https://images-na.ssl-images-amazon.com/images/I/51Pwe7f7RyL._AC_UL200_SR200,200_.jpg",Huawei,"E5785Lh-22c (Blanco) 300 Mbps 4G LTE Mobile WiFi (4G LTE en Europa, Asia, Oriente Medio, Africa y 3G Globalmente ",3
16,"https://images-na.ssl-images-amazon.com/images/I/81SlE4wJ8DL._AC_UL200_SR200,200_.jpg",Smartphone,Apple iPhone 8 plus 256GB color gris. Movistar pre-pago ,3
17,"https://images-na.ssl-images-amazon.com/images/I/61RZHJatKEL._AC_UL200_SR200,200_.jpg",Apple,iPhone 6 Dorado 64 GB (Renewed) ,3
18,"https://images-na.ssl-images-amazon.com/images/I/31Ed5pyuiVL._AC_UL200_SR200,200_.jpg",Apple,"iPhone 8 Plus 256GB, Color Dorado ",3
19,"https://images-na.ssl-images-amazon.com/images/I/71Q7Fm%2BkkGL._AC_UL200_SR200,200_.jpg",Smartphone,Samsung Galaxy S8 color plata. AT&T pre-pago ,3
20,"https://images-na.ssl-images-amazon.com/images/I/41JJB8Jr%2B5L._AC_UL200_SR200,200_.jpg",Apple,"APP-A2097- MT9E2LZ/A iPhone Xs, Space, Gray 64GB, Liberado ",3
21,"https://images-na.ssl-images-amazon.com/images/I/51cJfbdigeL._AC_UL200_SR200,200_.jpg",Smartphone,"P30 Lite Huawei Negro, 128 GB ",3
22,"https://images-na.ssl-images-amazon.com/images/I/31NTwK91paL._AC_UL200_SR200,200_.jpg",Apple,Iphone 8 64GB color plata. AT&T prepago ,3
23,"https://images-na.ssl-images-amazon.com/images/I/51MouHYGWKL._AC_UL200_SR200,200_.jpg",Huawei,"e5785lh-22 C Hotspot WiFi, Negro ",3
24,"https://images-na.ssl-images-amazon.com/images/I/71RYhD1uzpL._AC_UL200_SR200,200_.jpg",Apple,"iPhone 7, 128GB, Gold - For AT&T / T-Mobile (Renewed) ",3
25,"https://images-na.ssl-images-amazon.com/images/I/51PGkD9cphL._AC_UL200_SR200,200_.jpg",Smartphone,"Huawei P30 Lite Morado, 128 GB ",3
