,TV Img,TV Brand,TV Model,Tag
0,"https://images-na.ssl-images-amazon.com/images/I/71YlCIAhj6L._AC_UL200_SR200,200_.jpg",Tv,"Tv Samsung Crystal 4K UHD 43"" Smart Tv UN43TU6900FXZX (2020) ",2
1,"https://images-na.ssl-images-amazon.com/images/I/814PQSUje3L._AC_UL200_SR200,200_.jpg",TV,"TV Sony 55"" 4K UHD Smart Tv LED 55X720F ",2
2,"https://images-na.ssl-images-amazon.com/images/I/71YlCIAhj6L._AC_UL200_SR200,200_.jpg",Tv,"Tv Samsung Crystal 4K UHD 55"" Smart Tv UN55TU6900FXZX (2020) ",2
3,"https://images-na.ssl-images-amazon.com/images/I/81vmLvs6BrL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 55"" 4K UHD Smart Tv QLED QN55Q60TAF ( 2020 ) ",2
4,"https://images-na.ssl-images-amazon.com/images/I/61AKm-cjX7L._AC_UL85_SR85,85_.jpg",TV,"TV Hyundai 32"" HD Smart TV LED HYLED3246NiM ",2
5,"https://images-na.ssl-images-amazon.com/images/I/41PutJfxK9L._AC_UL85_SR85,85_.jpg",TCL,TCL Pantalla 32 Pulgadas Smart TV Roku 32S331-MX (Reacondicionado) ,2
6,"https://images-na.ssl-images-amazon.com/images/I/51fwjQCRxvL._AC_UL85_SR85,85_.jpg",LG,"LG Television de 65"" SmarTV Pantalla 4K Ultra HD |Magic Remote |HDR10|Dolby Vision | Google Assistant | Alexa | Apple ",2
7,"https://images-na.ssl-images-amazon.com/images/I/814PQSUje3L._AC_UL85_SR85,85_.jpg",TV,"TV Sony 55"" 4K UHD Smart Tv LED 55X720F ",2
8,"https://images-na.ssl-images-amazon.com/images/I/71YlCIAhj6L._AC_UL85_SR85,85_.jpg",Tv,"Tv Samsung Crystal 4K UHD 43"" Smart Tv UN43TU6900FXZX (2020) ",2
9,"https://images-na.ssl-images-amazon.com/images/I/81vmLvs6BrL._AC_UL85_SR85,85_.jpg",TV,"TV Samsung 55"" 4K UHD Smart Tv QLED QN55Q60TAF ( 2020 ) ",2
10,"https://images-na.ssl-images-amazon.com/images/I/61AKm-cjX7L._AC_UL200_SR200,200_.jpg",TV,"TV Hyundai 32"" HD Smart TV LED HYLED3246NiM ",2
11,"https://images-na.ssl-images-amazon.com/images/I/71YlCIAhj6L._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 58"" 4K Cristal UHD Smart TV LED UN58TU6900FXZX (2020) ",2
12,"https://images-na.ssl-images-amazon.com/images/I/71TJZZ%2Bd2fL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 32"" HD Smart TV LED UN32T4300AFXZX (2020) ",2
13,"https://images-na.ssl-images-amazon.com/images/I/91EAb3fKMBL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 50"" 4K UHD Smart Tv LED UN50TU7000FXZX ( 2020 ) ",2
14,"https://images-na.ssl-images-amazon.com/images/I/916Ts4fDi5L._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 32"" HD Smart TV LED LH32BETBLGKXZX (2020) ",2
15,"https://images-na.ssl-images-amazon.com/images/I/71KefL8QawL._AC_UL200_SR200,200_.jpg",Tv,"Tv Samsung Crystal 4K UHD 55"" Smart Tv UN55TU8000FXZX Alexa built-in (2020) ",2
16,"https://images-na.ssl-images-amazon.com/images/I/41simpaCMrL._AC_UL200_SR200,200_.jpg",Hisense,Hisense 43 pulgadas Smart TV con Sistema Operativo Roku Ultra Alta Definicion Pantalla Wi-Fi LED 1080P con Puertos HDMI ,2
17,"https://images-na.ssl-images-amazon.com/images/I/81UYqty05XL._AC_UL200_SR200,200_.jpg",TV,"TV Sony 43"" 4K UHD Smart Tv LED KDL-43X720F ",2
18,"https://images-na.ssl-images-amazon.com/images/I/71VlPnHMSvL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 55"" 4K UHD Smart Tv LED UN55TU8500FXZX ( 2020 ) ",2
19,"https://images-na.ssl-images-amazon.com/images/I/81-ieVP4QZL._AC_UL200_SR200,200_.jpg",Sony,"Sony Pantalla 49 4K Ultra HD, Smart TV HDR KDL-49X720F ",2
20,"https://images-na.ssl-images-amazon.com/images/I/719%2BSi5v4AL._AC_UL200_SR200,200_.jpg",TV,"TV LG 43"" FHD Smart TV LED 43LM6300PUB 2020 ",2
21,"https://images-na.ssl-images-amazon.com/images/I/71HQa5eW0mL._AC_UL200_SR200,200_.jpg",TV,"TV LG 50"" 4K Smart TV LED 50UN8000PUB 2020 ",2
22,"https://images-na.ssl-images-amazon.com/images/I/61KUFcjQh1L._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 55"" 4K Smart TV QLED QN55Q70 (2020) ",2
23,"https://images-na.ssl-images-amazon.com/images/I/81vmLvs6BrL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 65"" 4K UHD Smart Tv QLED QN65Q60TAFXZX ( 2020 ) ",2
24,"https://images-na.ssl-images-amazon.com/images/I/61J0HIHi%2B7L._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 65"" 4K UHD Smart Tv QLED Qn65Q70TAFXZX ( 2020 ) ",2
25,"https://images-na.ssl-images-amazon.com/images/I/91aYCF4I1OL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 75"" 4K UHD Smart Tv LED UN75TU7000FXZX ( 2020 ) ",2
26,"https://images-na.ssl-images-amazon.com/images/I/61ZiJDyp-gL._AC_UL200_SR200,200_.jpg",TV,"TV LG 43"" 4K Smart TV LED 43UN7100PUA 2020 ",2
27,"https://images-na.ssl-images-amazon.com/images/I/71GmEiIcaHL._AC_UL200_SR200,200_.jpg",TV,"TV LG 60"" 4K Smart TV LED 60UN7300PUA 2020 ",2
28,"https://images-na.ssl-images-amazon.com/images/I/713rfj7KKSL._AC_UL200_SR200,200_.jpg",TV,"TV LG 55"" 4K Smart TV LED 55UN7300PUC 2020 ",2
29,"https://images-na.ssl-images-amazon.com/images/I/71H96gPbdhL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 32"" Serie H5F1 VIDAA HD Smart TV (32H5F1, 2020) ",2
30,"https://images-na.ssl-images-amazon.com/images/I/61YiMZJsjyL._AC_UL200_SR200,200_.jpg",TV,"TV TCL 43"" 4K UHD Roku Tv LED 43S425-MX ",2
31,"https://images-na.ssl-images-amazon.com/images/I/715yuClTJ6L._AC_UL200_SR200,200_.jpg",SANSUI,SANSUI Smart TV 32 LED HD Netflix Dolby Audio SMX-32P28NF ,2
32,"https://images-na.ssl-images-amazon.com/images/I/91-gHZ%2BX9YL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 58"" 4K UHD Smart Tv LED UN58TU7000FXZX ( 2020 ) ",2
33,"https://images-na.ssl-images-amazon.com/images/I/71p18I-YMzL._AC_UL200_SR200,200_.jpg",TV,"TV LG 55"" 4K Smart TV LED NanoCell 55NANO81UNA 2020 ",2
34,"https://images-na.ssl-images-amazon.com/images/I/61XuhC2fyhL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 32H4000FM Serie 4. 32"" HD, Smart TV, Roku TV, HDR, Roku Search, (2019) (32"") (Renewed) ",2
35,"https://images-na.ssl-images-amazon.com/images/I/81-%2BjmXSNyL._AC_UL200_SR200,200_.jpg",TV,"TV Hisense 43"" 4K Roku TV LED R6000GM (2020) ",2
36,"https://images-na.ssl-images-amazon.com/images/I/61YiMZJsjyL._AC_UL200_SR200,200_.jpg",TV,"TV TCL 55"" 4K UHD Roku Tv LED 55S425-MX ",2
37,"https://images-na.ssl-images-amazon.com/images/I/61nwkFpUBLL._AC_UL200_SR200,200_.jpg",Sony,"Sony BRAVIA KDL-32W600D. Pantalla de 32"", HD ready Smart TV ",2
38,"https://images-na.ssl-images-amazon.com/images/I/61%2BDzdrlc-L._AC_UL200_SR200,200_.jpg",TV,"TV LG 55"" 4K Smart TV LED 55UN7100PUA 2020 ",2
39,"https://images-na.ssl-images-amazon.com/images/I/91-gHZ%2BX9YL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 43"" 4K UHD Smart Tv LED UN43TU7000FXZX ( 2020 ) ",2
40,"https://images-na.ssl-images-amazon.com/images/I/51XOh7jvPbL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 40H5500F Android TV Smart TV 40"", 1080p, Built-in Wi-Fi, 2019, Color Negro ",2
41,"https://images-na.ssl-images-amazon.com/images/I/61aGRM8DJOL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 50R6000GM Serie R6 50"" 4K Uhd, Smart TV, Roku TV, Hdr10, Roku Search, (2020) (50"") ",2
42,"https://images-na.ssl-images-amazon.com/images/I/71sJNFHpYoL._AC_UL200_SR200,200_.jpg",Hisense,Hisense 32H4F 32-Inch LED Roku Smart TV with Alexa and Google Assistant Compatibility (2020) (Reacondicionado) ,2
43,"https://images-na.ssl-images-amazon.com/images/I/61SONhtHOxL._AC_UL200_SR200,200_.jpg",TV,"TV LG 49"" 4K Smart TV LED 49UN7100PUA ",2
44,"https://images-na.ssl-images-amazon.com/images/I/91aYCF4I1OL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 65"" 4K UHD Smart Tv LED Un65Tu7000Fxzx ( 2020 ) ",2
45,"https://images-na.ssl-images-amazon.com/images/I/71%2B5enz53sL._AC_UL200_SR200,200_.jpg",TV,"TV LG 49"" 4K Smart TV LED NanoCell 49NANO81UNA 2020 ",2
46,"https://images-na.ssl-images-amazon.com/images/I/81SZnYKocPL._AC_UL200_SR200,200_.jpg",Hisense,"Hisense 65"" Serie H8G Android 4K ULED Smart TV con Asistente de Google (65H8G, 2020) ",2
47,"https://images-na.ssl-images-amazon.com/images/I/71VfecGjmRL._AC_UL200_SR200,200_.jpg",TV,"TV LG 32"" HD Smart TV LED 32LM630BPUB ",2
48,"https://images-na.ssl-images-amazon.com/images/I/91mcHVhh9KL._AC_UL200_SR200,200_.jpg",TV,"TV Samsung 55"" 4K UHD Smart Tv LED UN55TU7000FXZX ( 2020 ) ",2
49,"https://images-na.ssl-images-amazon.com/images/I/71gzlKauNQL._AC_UL200_SR200,200_.jpg",Hisense,Hisense 32H4F 32-Inch LED Roku Smart TV with Alexa and Google Assistant Compatibility (2020) ,2
50,"https://images-na.ssl-images-amazon.com/images/I/31pO-n1BnTL._AC_UL200_SR200,200_.jpg",Pantalla,"Pantalla DE 40"" Full HD Smart TV ",2
